FMID,MarketName,Website,Facebook,Twitter,Youtube,OtherMedia,street,city,County,State,zip,Season1Date,Season1Time,Season2Date,Season2Time,Season3Date,Season3Time,Season4Date,Season4Time,x,y,Location,updateTime
1012449,CentraCare Health - Long Prairie Farmers Market ,http://www.centracare.com/wellness/farmers-market/,https://www.facebook.com/CentraCareHealth/,,,,Southeast of the nursing home on 1st Av SE,Long Prairie ,Todd,Minnesota,56347,06/03/2016 to 10/14/2016,Fri: 2:00 PM-6:30 PM;,,,,,,,-94.849189,45.972912,,7/25/2016 13:06
1012450,Wisconsin Dells Farmers Market,,,,,,W15344 Waubeek Rd.,Wisconsin Dells ,Columbia,Wisconsin,53965,05/15/2016 to 10/16/2016,Sun: 9:00 AM-1:00 PM;,,,,,,,-89.7628883,43.6412622,,7/11/2016 18:24
1012451,Florida Farmers Market,http://warwickinfo.net/floridafarmersmarket/index.html,www.facebook.com/FloridaNYFarmersMarket,,,,Rt 17A and 94,Florida,Orange,New York,10921,06/14/2016 to 10/25/2016,Tue: 10:00 AM-4:00 PM;,,,,,,,-74.3554231,41.3268331,,7/11/2016 19:19
1012452,Walpole Farmers' Market,http://www.walpolemafarmersmarket.com,https://www.facebook.com/Walpole-Farmers-Market-111991025477749/,@WalpoleFarmers,,,653 Main Street,Walpole ,Norfolk,Massachusetts,2081,06/24/2016 to 09/30/2016,Fri: 1:30 PM-5:30 PM;,,,,,,,-71.244383,42.154787,,7/11/2016 20:09
1012453,Arcadia's Mobile Market -- Community of Hope Family Health & Birth Center,http://arcadiafood.org/programs/mobile-market,,,https://www.youtube.com/user/ArcadiaFoodTV,,801 17th St NE,Washington,District of Columbia,District of Columbia,20002,06/02/2016 to 10/27/2016,Thu: 3:00 PM-6:00 PM;,,,,,,,-76.9781261,38.9008251,,7/12/2016 11:55
1012454,Arcadia's Mobile Market -- Parkside Unity Healthcare/Circle 7 Express,http://arcadiafood.org/programs/mobile-market,,,https://www.youtube.com/user/ArcadiaFoodTV,,740 Kenilworth Ave NE,Washington,District of Columbia,District of Columbia,20019,05/05/2016 to 11/17/2016,Thu: 3:00 PM-6:00 PM;,,,,,,,-76.9468929,38.9007582,,7/12/2016 11:59
1012455,Arcadia's Mobile Market -- Deanwood Recreation Center,http://arcadiafood.org/programs/mobile-market,,,https://www.youtube.com/user/ArcadiaFoodTV,,1350 49th St NE,Washington,District of Columbia,District of Columbia,20019,05/06/2016 to 11/25/2016,Fri: 10:00 AM-12:00 PM;,,,,,,,-76.9324515,38.9082997,,7/12/2016 11:59
1012456,Polk County Farmers' Market,,https://www.facebook.com/polkfarmersmarket,,,,524 Sherwood,Mena,Polk,Arkansas,71953,05/28/2016 to ,Tue: 7:00 AM-11:00 AM;Thu: 7:00 AM-11:00 AM;Sat: 7:00 AM-11:00 AM;,,,,,,,-94.236379,34.582939,,7/11/2016 21:20
1012460,Saratoga Farmers' Market - Outdoor Market (May-October),http://www.saratogafarmersmarket.org,https://www.facebook.com/SaratogaFarmersMarket/,@SaratogaMarket,,Instagram #saratogafarmersmarket,"High Rock Park, High Rock Park Ave",Saratoga Springs ,Saratoga,New York,12866,05/04/2016 to 10/29/2016,Wed: 3:00 PM-6:00 PM;Sat: 9:00 AM-1:00 PM;,,,,,,,-73.781149,43.085525,,7/11/2016 22:15
1012461,Mt. Pleasant  Farmers Market,,"Mt. Pleasant, Iowa Farmers Market",,,,S. Walnut St,Mt. Pleasant,Henry,Iowa,52641,05/14/2016 to 10/08/2016,Wed: 4:00 PM-6:00 PM;Sat: 8:30 AM-11:00 AM;,,,,,,,-91.547312,40.956333,,7/11/2016 23:08
1012462,Dodgeville Farmers Market,http://dodgeville.locallygrown.net,,,,,,Dodgeville,Iowa,Wisconsin,53533,05/14/2016 to 10/29/2016,Sat: 8:00 AM-11:00 AM;,,,,,,,-90.129952,42.962064,,7/12/2016 7:21
1012463,Oak Ridge Farmers Market,http://easttnfarmmarkets.org,oak ridge farmers market,oak ridge farmers market,,,Jackson Square,Oak Ridge ,Anderson,Tennessee,37830,04/16/2016 to 11/23/2016,Wed: 3:00 PM-5:00 PM;Sat: 8:00 AM-12:00 PM;,,,,,,,-84.2401994,36.0248008,,7/12/2016 8:04
1012464,Knoxville Farmers Market- Lakeshore,http://easttnfarmmarkets.org,Lakeshore Farmers Market,Lakeshore Farmers Market,,,Lakeshore Park,Knoxville,Knox,Tennessee,,04/22/2016 to 11/18/2016,Fri: 3:00 PM-6:00 PM;,,,,,,,-83.9883144,35.9221074,,7/12/2016 7:56
1012465,Knoxville Farmers Market- Ebenezer Road,http://easttnfarmmarkets.org,Ebenezer Road Farmers Market,Ebenezer Road Farmers Market,,,1001 Ebenezer Road,Knoxville ,Knox,Tennessee,37923,04/19/2016 to 11/14/2016,Tue: 3:00 PM-6:00 PM;,,,,,,,-84.0706129,35.8930945,,7/12/2016 8:02
1012466,Fresh2You Mobile Market,http://chestercountyfoodbank.org/programs/fresh2you/,,,,,501 E. Lincoln Hwy,Coatesville,Chester,Pennsylvania,19320,,,,,,,,,-75.815943,39.9845692,,7/12/2016 8:53
1012467,Village of Buffalo Grove Farmers Market,http://www.vbg.org/market,buffalogrovefarmersmarket,,,,971 McHenry Road,Buffalo Grove,Lake,Illinois,60089,06/12/2016 to 10/09/2016,Sun: 8:00 AM-12:30 PM;,,,,,,,-87.9785608,42.1726145,,7/12/2016 9:01
1012470,Kamm's Corners Farmers Market,http://www.kammscornersfarmersmarket.org,https://www.facebook.com/kammsmarket/,,,,16906 Albers Ave.,Cleveland ,Cuyahoga,Ohio,44111,06/12/2016 to 10/09/2016,Sun: 10:00 AM-1:00 PM;,,,,,,,-81.814974,41.449328,,7/12/2016 9:16
1012471,North End Farmers Market,http://neatmiddletown.org/nefm,https://www.facebook.com/north.end.farmers.market/,,,https://www.instagram.com/northendfm/,575 Main St,Middletown,Middlesex,Connecticut,6457,07/01/2016 to 10/28/2016,Fri: 10:00 AM-2:00 PM;,,,,,,,-72.652,41.563893,,7/12/2016 10:38
1012472,West Broad Farmers Market and Garden,http://www.athenslandtrust.org/west-broad-farmers-market,https://www.facebook.com/WestBroadMarketGarden,https://twitter.com/westbroadfm,,https://www.instagram.com/westbroadfarmersmarket/,1573 West Broad Street,Athens,Clarke,Georgia,30606,04/30/2016 to 12/10/2016,Sat: 9:00 AM-1:00 PM;,,,,,,,-83.397132,33.9522,,7/12/2016 11:04
1012473,Streator Downtown Farmers Market,http://streator.org,https://www.facebook.com/streatordowntownfarmersmarket/,https://twitter.com/StreatorMarket?lang=en,,,200 N Park St,Streator,La Salle,Illinois,61364,06/04/2016 to 10/29/2016,Sat: 9:00 AM-1:00 PM;,,,,,,,-88.834048,41.121512,,7/12/2016 11:24
1012474,Arcadia's Mobile Market -- Barry Farm Recreation Center,http://arcadiafood.org/programs/mobile-market,,,https://www.youtube.com/user/ArcadiaFoodTV,,1230 Sumner Rd SE,Washington,District of Columbia,District of Columbia,20020,06/03/2016 to 10/28/2016,Fri: 2:00 PM-5:00 PM;,,,,,,,-76.996697,38.860661,,7/12/2016 12:00
1012475,Oak Square Farmers Market,,https://www.facebook.com/oaksquarefarmersmarket/,,,,"640 Washington St, Brighton, MA",Brighton,Suffolk,Massachusetts,2135,06/01/2016 to 10/26/2016,Wed: 4:00 PM-8:00 PM;,,,,,,,-71.169492,42.350508,,7/12/2016 11:23
1012476,Copley Square Farmers Market,http://www.massfarmersmarkets.org,www.facebook.com/CopleySquareFarmersMarket,@MAFarmMarkets,,,,Boston,Suffolk,Massachusetts,2116,05/10/2016 to 11/22/2016,Tue: 11:00 AM-6:00 PM;Fri: 11:00 AM-6:00 PM;,,,,,,,-71.07639,42.349966,,7/12/2016 11:42
1012477,Arcadia's Mobile Market -- Edgewood Commons,http://arcadiafood.org/programs/mobile-market,,,https://www.youtube.com/user/ArcadiaFoodTV,,601 Edgewood St NE ,Washington ,District of Columbia,District of Columbia,20017,05/06/2016 to 11/25/2016,Fri: 3:00 PM-6:00 PM;,,,,,,,-76.9971713,38.9237975,,7/12/2016 11:41
1012478,Waterfront Farmers Market of Gig Harbor,,https://www.facebook.com/waterfrontfarmersmarketgigharbor/,https://twitter.com/WFMMktManager,,https://www.instagram.com/?hl=en,3211 Harborview Drive,Gig Harbor,Pierce,Washington,98335,,Thu: 3:00 PM-7:00 PM;,,,,,,,-122.58199,47.3306718,,7/12/2016 11:57
1012479,Cambridge Central Square Farmers Market,http://www.massfarmersmarkets.org,www.facebook.com/CentralSquareFarmersMarket,@MAFarmMarkets,,,Bishop Allen Dr. & Norfolk St.,Cambridge ,Middlesex,Massachusetts,2139,05/16/2016 to 11/21/2016,Mon: 12:00 PM-6:00 PM;,,,,,,,-71.1012855,42.365228,,7/12/2016 11:57
1012481,Green Hills Produce & Crafts,,"Corning, IA - Farmer's Market",,,,,Corning,Adams,Iowa,50841,05/26/2016 to 09/29/2016,Thu: 5:00 PM-7:00 PM;,,,,,,,-94.734617,40.990542,,7/12/2016 12:13
1012482,Moreland Farmers Market,http://www.morelandfarmersmarket.org,Moreland Farmers Market,,,,SE 14th Ave and SE Bybee,Portland,Multnomah,Oregon,97282,05/04/2016 to 10/19/2016,Wed: 2:00 PM-7:00 PM;,,,,,,,-122.6517266,45.4736782,,7/12/2016 12:03
1012484,Cedar Mill Farmers Market,http://www.cedarmillfarmersmarket.org,Cedar Mill Farmers market,,,,Corner Of NW Murray and Cornell,Portland,Washington,Oregon,97266,05/07/2016 to 07/30/2016,Sat: 8:00 AM-1:00 PM;,,,,,,,-122.8141034,45.5263877,,7/12/2016 12:16
1012485,Wayne State University Farmers Market,http://www.clas.wayne.edu/seedwayne,https://facebook.com/WSUFarmersMarket/,@wsufarmersmkt,,Instagram: wsufarmersmarket,5401 Cass Avenue,Detroit ,Wayne,Michigan,48202,06/01/2016 to 10/26/2016,Wed: 11:00 AM-4:00 PM;,,,,,,,-83.0689052,42.3588968,,7/12/2016 12:21
1012486,Greenwood Ave Farmers Market,http://www.greenwoodavefm.org/,https://www.facebook.com/greenwoodavefarmersmarket/,https://twitter.com/GreenwoodAveFM,,https://www.instagram.com/greenwoodavefarmersmarket/,427 Greenwood Ave.,Trenton,Mercer,New Jersey,8609,06/13/2016 to 10/24/2016,Mon: 2:00 PM-6:00 PM;,,,,,,,-74.753179,40.216816,,7/12/2016 13:01
1012487,Suquamish Farmers Market,http://www.suquamishfarmersmarket.org,https://www.facebook.com/suquamishfm/,,,https://www.instagram.com/suquamishfm/,16281 WA-305,Poulsbo,Kitsap,Washington,98370,05/04/2016 to 10/12/2016,Wed: 3:00 PM-7:00 PM;,,,,,,,-122.584276,47.708097,,7/12/2016 13:02
1012488,Thief River Falls Farmers Market,,www.facebook.com/thiefriverfallsfarmersmarket,,,,3rd St. and Duluth Ave.,Thief River Falls,Pennington,Minnesota,56701,06/18/2016 to 10/01/2016,Tue: 3:30 PM-6:00 PM;Sat: 9:00 AM-12:00 PM;,,,,,,,-96.184402,48.118992,,7/12/2016 13:06
1012490,Poulsbo Farmers Market,http://www.poulsbofarmersmarket.org,https://www.facebook.com/PoulsboFarmersMarket/,,,https://www.instagram.com/poulsbofm/,19540 Front St NE,Poulsbo,Kitsap,Washington,98370,04/02/2016 to 12/17/2016,Sun: 9:00 AM-2:00 PM;,,,,,,,-122.649224,47.740461,,7/12/2016 13:20
1012492,Craftsbury Farmers Market,http://craftsburyfarmersmarket.com/,https://www.facebook.com/CraftsburyFarmersMarket/,,,,N. Craftsbury Road,Craftsbury Common,Orleans,Vermont,5827,05/28/2016 to 10/08/2016,Sat: 10:00 AM-1:00 PM;,,,,,,,-72.243778,44.8288392,,7/12/2016 13:45
1012493,Roseau Farmers Market,http://goroseau.com,,,,,,Roseau,Roseau,Minnesota,56751,06/18/2016 to ,Thu: 3:00 PM-7:00 PM;Sat: 9:00 AM-1:00 PM;,,,,,,,-95.760881,48.847646,,7/12/2016 13:49
1012494,Bethlehem Farmers' Market,http://www.bethlehemfarmersmarket.com,facebook.com/BethlehemFarmersMarketPA,twitter.com/BethFarmMkt,,instagram.com/bethlehemfarmersmarket,Intersection of New and Morton Streets,Bethlehem,Lehigh,Pennsylvania,18015,05/05/2016 to 10/27/2016,Thu: 11:00 AM-3:00 PM;,,,,,,,-75.3784029,40.6098058,,7/12/2016 14:16
1012495,Decatur Farmers Market ,http://cfmatl.org,https://www.facebook.com/DecaturFarmersMarkets/,,,,308 Clairmont Ave. ,Decatur ,DeKalb,Georgia,30030,01/01/2016 to 12/31/2016,Wed: 4:00 PM-7:00 PM;Sat: 9:00 AM-1:00 PM;,,,,,,,-84.2974842,33.7788269,,7/12/2016 14:06
1012497,Great Falls Original Farmer's Market,http://www.farmersmarketgf.com/,https://www.facebook.com/farmersmarketgf/,,,,2 South Park Drive,Great Falls ,Cascade,Montana,59401,06/04/2016 to 09/24/2016,Sat: 8:00 AM-12:00 PM;,07/13/2016 to 09/21/2016,Wed: 4:30 PM-6:30 PM;,,,,,-111.306786,47.505283,,7/16/2016 0:35
1012498,Goodyear Community Farmers Market,http://www.arizonacommunityfarmersmarkets.com/FM_Goodyear.html,https://www.facebook.com/GoodyearCommunityFarmersMarket,https://twitter.com/search?f=tweets&q=goodyearfm&src=typd,,,3151 N. Litchfield Rd,Litchfield Park ,Maricopa,Arizona,85338,10/01/2016 to 05/27/2017,Sat: 8:00 AM-12:00 PM;,,,,,,,-112.361037,33.482525,,7/12/2016 15:00
1012499,Somerville/Davis Square,http://www.massfarmersmarkets.org,www.facebook.com/Davis-Square-Farmers-Market-404743659554925/,@MAFarmMarkets,,#DavisSquare,50 Day St.,Somerville ,Middlesex,Massachusetts,2144,05/18/2016 to 11/23/2016,Wed: 12:00 PM-6:00 PM;,,,,,,,-71.1231062,42.3958267,,7/12/2016 14:50
1012500,6th Street Market in Downtown Tempe,http://arizonacommunityfarmersmarkets.com,www.facebook.com/6thstmarket/,,,www.instagram.com/6thstmarket/,6th Street and Mill Avenue,Tempe ,Maricopa,Arizona,85281,10/02/2016 to 05/28/2017,Sun: 9:00 AM-1:00 PM;,,,,,,,-111.939512,33.42442,,7/12/2016 15:50
1012502,REC Beaver Brook Park Market,http://www.recworcester.org/#!markets/c1m3b,https://www.facebook.com/recfarmersmarkets/?fref=ts,https://twitter.com/RECFarmMarket,,,306 Chandler St,Worcester ,Worcester,Massachusetts,,06/20/2016 to 10/24/2016,Mon: 9:30 AM-2:00 PM;Fri: 9:30 AM-2:00 PM;,,,,,,,-71.825397,42.262154,,7/13/2016 14:36
1012503,Wood County Farmers' Market,http://www.rapidsmall.com,Wood County Farmers Market,,,,555 West Grand Ave,Wisconsin Rapids,Wood,Wisconsin,54495,05/14/2016 to 10/29/2016,Thu: 9:00 AM-3:00 PM;Sat: 8:00 AM-12:00 PM;,11/05/2016 to 03/01/2017,Thu: 10:00 AM-2:00 PM;Sat: 10:00 AM-2:00 PM;,,,,,-89.832207,44.393812,,7/12/2016 17:10
1012505,Darlington Farmers Market,,,,,,Main Street,Darlington 53530,Lafayette,Wisconsin,,05/01/2016 to 10/01/2016,Sat: 8:00 AM-12:00 PM;,,,,,,,-90.12073,42.681899,,7/12/2016 17:34
1012506,Portland Farmers Market - Kenton ,http://www.portlandfarmersmarket.org,https://www.facebook.com/portlandfarmersmarket?v=wall,https://twitter.com/portlandfarmers,,https://www.instagram.com/portlandfarmers/,N Denver Ave and N McClellan St,Portland,Multnomah,Oregon,97217,06/01/2016 to 09/28/2016,Wed: 3:00 PM-7:00 PM;,,,,,,,-122.686888,45.583106,,7/13/2016 16:43
1012507,Champaign County Farmers' Market,,Corner of market Street and Locust Street,,,,Market Street and Locust Street,Urbana ,Champaign,Ohio,43078,05/07/2016 to 10/29/2016,Sat: 9:00 AM-12:00 PM;,,,,,,,-83.7509825,40.1068632,,7/12/2016 18:20
1012508,Montavilla Farmers Market,http://www.montavillamarket.org,https://www.facebook.com/MontavillaMarket,https://twitter.com/montavillamkt,,https://www.instagram.com/montavillamarket,7600 SE Stark Street,Portland,Multnomah,Oregon,97292,05/15/2016 to 10/30/2016,Sun: 10:00 AM-2:00 PM;,11/20/2016 to 11/20/2016,Sun: 10:00 AM-2:00 PM;,12/18/2016 to 12/18/2016,Sun: 11:00 AM-1:00 PM;,01/15/2017 to 01/15/2017,Sun: 11:00 AM-1:00 PM;,-122.584344,45.518886,,7/12/2016 18:52
1012509,Good Local Markets at Vickery Meadow,http://www.goodlocalmarkets.org,Good Local Markets,,,,5803 E. Northwest Highway,Dallas,Dallas,Texas,75231,04/03/2016 to 12/11/2016,Sun: 10:00 AM-3:00 PM;,,,,,,,-96.7647804,32.8661784,,7/12/2016 20:17
1012510,Good Local Markets at Lakeside Farmers Market,http://www.goodlocalmarkets.org,Good Local Markets,,,,9150 Garland Road,Dallas,Dallas,Texas,75218,03/12/2016 to 12/10/2016,,,,,,,,-96.706935,32.829427,,7/12/2016 20:26
1012511,Onslow County Farmers' Market,http://onslowncfarmersmarket.com,Onslow County Farmers' Market,,,,,"Camp Lejeune, NC",Onslow,North Carolina,28542,04/01/2016 to 09/27/2016,Tue: 10:00 AM-2:00 PM;,,,,,,,-77.337956,34.674159,,7/18/2016 14:45
1012513,Bosque Farmers Market,http://bosque.agrilife.org/bosque-farmers-market/,https://www.facebook.com/Bosque-Farmers-Market-956350901151818/,,,https://www.instagram.com/bosquefarmersmarket/,110 South Main,Meridian ,Bosque,Texas,76665,05/07/2016 to 10/29/2016,Sat: 9:00 AM-1:00 PM;,,,,,,,-97.6573069,31.9228027,,7/13/2016 8:27
1012514,Rome Farmers Market,,Www.facebook.com/romefarmersmarket,,,,Geneva Tr and Snowpass,New Rome,Adams,Wisconsin,54457,05/27/2016 to 09/30/2016,Fri: 8:00 AM-1:00 PM;,,,,,,,-89.810538,44.21722,,7/13/2016 14:10
1012515,Middle River Farmers Market,http://mrfarmersmarket.com,,,,,Main Street,Middle River,Marshall,Minnesota,56737,06/03/2016 to 09/30/2016,Fri: 1:00 PM-5:00 PM;,,,,,,,-96.161694,48.434896,,7/13/2016 9:24
1012516,Truro Educational Farmers' Market,http://www.sustainablecape.org,https://www.facebook.com/sustainablecape/,,,,,Truro,Barnstable,Massachusetts,2666,06/13/2016 to 08/29/2016,Mon: 8:00 AM-12:00 PM;,,,,,,,-70.0490107,41.99477,,7/13/2016 9:46
1012517,Hub City Farmers' Market,http://www.hubcityfm.org,hub city farmers' market,,,,498 howard st.,spartanburg,Spartanburg,South Carolina,29306,01/01/2016 to 12/31/2016,Sat: 8:00 AM-12:00 PM;,,,,,,,-81.942413,34.956245,,7/13/2016 9:44
1012518,Hub City Farmers' Market Wednesday market downtown location,http://www.hubcityfm.org,hub city farmers' market,,,,Wall street,spartanburg,Spartanburg,South Carolina,29306,06/01/2016 to 08/17/2016,Wed: 11:30 AM-1:30 PM;,,,,,,,-81.9327542,34.9485021,,7/13/2016 9:46
1012519,Downtown Dalton Farmers Market,http://www.downtowndalton.com,Downtown Dalton Farmers Market,,,,117 North Selvidge Street,Dalton,Whitfield,Georgia,30720,05/07/2016 to 08/27/2016,Tue: 4:00 PM-7:00 PM;Sat: 8:00 AM-12:00 PM;,,,,,,,-84.9709565,34.771746,,7/13/2016 10:31
1012520,Fulton County Medical Center Farmers Market,,,,,,214 peach orchard rd.,McConnellsburg borough,Fulton,Pennsylvania,17233,06/01/2016 to 10/01/2016,Fri: 10:00 AM-6:00 PM;,,,,,,,-77.995682,39.931838,,7/13/2016 10:37
1012521,Farmers in the Park,http://www.charlottesville.org/departments-and-services/departments-h-z/parks-recreation-/city-market/farmers-in-the-park,https://www.facebook.com/farmersinthepark/,,,,300 Meade Avenue,Charlottesville,Charlottesville,Virginia,22902,05/01/2016 to 09/30/2016,Wed: 3:00 PM-7:00 PM;,,,,,,,-78.465092,38.027678,,7/13/2016 10:54
1012522,Vilonia Handmade & Homegrown Market,,facebook.com/viloniafarmersmarket,,,,1113 Main St,Vilonia,Faulkner,Arkansas,72173,06/09/2016 to 10/15/2016,Thu: 7:00 AM-12:00 PM;Sat: 7:00 AM-12:00 PM;,,,,,,,-92.207414,35.083718,,7/13/2016 11:21
1012523,"Mill City Farmers Market, Inc.",http://millcityfarmersmarket.org/,https://www.facebook.com/MillCityFarmersMarket/,https://twitter.com/mcfarmersmkt,,,704 South 2nd Street,Minneapolis,Hennepin,Minnesota,55401,05/07/2016 to 09/24/2016,Sat: 8:00 AM-1:00 PM;,10/01/2016 to 10/29/2016,Sat: 9:00 AM-1:00 PM;,11/12/2016 to 04/08/2017,Sat: 10:00 AM-1:00 PM;,,,-93.256278,44.978211,,7/13/2016 11:37
1012524,Richfield Farmers Market,http://www.richfieldfarmersmarket.org,https://www.facebook.com/RichfieldFarmersMarket,https://twitter.com/RichfieldFarmkt,,,6335 Portland Ave S,Richfield ,Hennepin,Minnesota,55423,05/21/2016 to 10/22/2016,Sat: 7:00 AM-12:00 PM;,,,,,,,-93.2660508,44.8883807,,7/13/2016 11:41
1012525,Northeast Farmers' Market,http://NEFarmersMarket.wordpress.com,Facebook.com/NEKCFarmersMarket,,,Instagram: @NortheastFarmersMarket,3001 Independence Ave,Kansas City,Jackson,Missouri,64124,05/19/2016 to 09/29/2016,Thu: 4:00 PM-7:00 PM;,,,,,,,-94.5456169,39.105802,,7/13/2016 11:33
1012526,Paducah Farmer's Market,http://paducahky.gov/farmers-market,https://www.facebook.com/paducah.homegrown/,,,,306 2nd Street,Paducah,McCracken,Kentucky,42001,04/23/2016 to 10/29/2016,Sat: 7:30 AM-2:00 PM;,,,,,,,-88.5965,37.0901565,,7/13/2016 12:47
1012527,Clement St. Farmers Market,http://www.agriculturalinstitute.org,https://www.facebook.com/ClementStreetFarmersMarket/,,,,Clement St. between 2nd and 4th,San Francisco,San Francisco,California,,01/01/2016 to 12/31/2016,Sun: 9:00 AM-2:00 PM;,,,,,,,-122.460989,37.783062,,7/13/2016 12:38
1012529,Grand Lake-Oakland Farmers Market,https://www.agriculturalinstitute.org/directory/listing-details/grand-lake-oakland,https://www.facebook.com/GrandLakeFarmersMarket/,,,,Splash Pad Park,Oakland,Alameda,California,,01/01/2016 to 12/31/2016,Sat: 9:00 AM-2:00 PM;,,,,,,,-122.2478409,37.8105444,,7/13/2016 13:01
1012530,Sunday Civic Center Farmers Market,https://www.agriculturalinstitute.org/directory/listing-details/sunday-san-rafael-market,https://www.facebook.com/MarinFarmersMarkets/?fref=ts,,,,3501 Civic Center Dr.,San Rafael,Marin,California,94903,01/01/2016 to 12/31/2016,Sun: 8:00 AM-1:00 PM;,,,,,,,-122.531204,37.998052,,7/13/2016 13:10
1012532,REC Mobile Farmers Market - The Senior Center,http://www.recworcester.org/#!markets/c1m3b,https://www.facebook.com/recfarmersmarkets/?fref=ts,https://twitter.com/RECFarmMarket,,,128 Providence Street,Worcester ,Worcester,Massachusetts,1604,06/21/2016 to 10/25/2016,Tue: 9:00 AM-10:30 AM;,,,,,,,-71.7930315,42.248111,,7/13/2016 13:17
1012533,Thursday Civic Center Farmers Market,https://www.agriculturalinstitute.org/directory/listing-details/thursday-san-rafael-market,https://www.facebook.com/MarinFarmersMarkets/?fref=ts,,,,"Marin Center, Avenue of the Flags",San Rafael,Marin,California,94903,01/01/2016 to 12/31/2016,Thu: 8:00 AM-1:00 PM;,,,,,,,-122.533581,38.002859,,7/13/2016 13:30
1012534,Stonestown Farmers Market,https://www.agriculturalinstitute.org/directory/listing-details/stonestown-market,https://www.facebook.com/StonestownFarmersMarket/?fref=ts,,,,3251 20th Ave,San Francisco,San Francisco,California,94132,01/01/2016 to 12/31/2016,Sun: 9:00 AM-1:00 PM;,,,,,,,-122.478978,37.730057,,7/13/2016 13:44
1012535,Cornwall Farmers Market,http://cornwallny.gov,Town of Cornwall Farmers Market,,,,183 Main Street,Cornwall,Orange,New York,12518,05/01/2016 to 10/31/2016,,,,,,,,-74.029338,41.43972,,7/13/2016 13:57
1012536,Newark Farmers Market,https://www.agriculturalinstitute.org/directory/listing-details/newark-market,https://www.facebook.com/Newark-Farmers-Market-167753743427328/?fref=ts,,,,2086 Newpark Mall,Newark,Alameda,California,,01/01/2016 to 12/31/2016,Sun: 9:00 AM-1:00 PM;,,,,,,,-121.998246,37.525397,,7/13/2016 13:50
1012537,REC University Park Farm Stand,http://www.recworcester.org/#!markets/c1m3b,https://www.facebook.com/recfarmersmarkets/?fref=ts,https://twitter.com/RECFarmMarket,,,965 Main Street,Worcester ,Worcester,Massachusetts,1610,,Sat: 9:30 AM-1:00 PM;,,,,,,,-71.821553,42.247532,,7/13/2016 14:10
1012539,Marshfield Clinic and Aspirus Farmers Market,,,,,,333 Pine Ridge Blvd,Wausau,Marathon,Wisconsin,54401,06/16/2016 to 09/29/2016,Thu: 10:00 AM-4:00 PM;,,,,,,,-89.667728,44.966094,,7/13/2016 15:55
1012540,Little Rock River Market,,Little Rock Farmers' Market,,,,400 President Clinton Ave,Little Rock,Pulaski,Arkansas,72201,05/07/2016 to 09/24/2016,Sat: 7:00 AM-3:00 PM;,,,,,,,-92.2661212,34.7476891,,7/13/2016 16:03
1012541,The Market at Good Shepherd,,"The Market at Good Shepherd, Decatur, AL",,,,"3809 Spring Ave, SW",Decatur,Morgan,Alabama,35603,08/01/2016 to 10/31/2016,Mon: 2:00 PM-6:00 PM;,,,,,,,-87.001579,34.535562,,7/13/2016 16:23
1012542,Portland Farmers Market - King,http://www.portlandfarmersmarket.org/,https://www.facebook.com/portlandfarmersmarket?v=wall,https://twitter.com/portlandfarmers,,https://www.instagram.com/portlandfarmers/,NE 7th Ave and Wygant St,Portland,Multnomah,Oregon,97211,05/01/2016 to 11/20/2016,Sun: 10:00 AM-2:00 PM;,,,,,,,-122.6585746,45.5573069,,7/13/2016 16:43
1012543,Portland Farmers Market - Northwest,http://www.portlandfarmersmarket.org/,https://www.facebook.com/portlandfarmersmarket?v=wall,https://twitter.com/portlandfarmers,,https://www.instagram.com/portlandfarmers/,NW 19th Ave and Everett St,Portland,Multnomah,Oregon,97209,06/02/2016 to 09/29/2016,Thu: 2:00 PM-6:00 PM;,,,,,,,-122.6903025,45.5249448,,7/13/2016 16:48
1012544,Portland Farmers Market - Lents International,http://www.portlandfarmersmarket.org/,https://www.facebook.com/portlandfarmersmarket?v=wall,https://twitter.com/portlandfarmers,,https://www.instagram.com/portlandfarmers/,SE 91st Ave and Foster Road,Portland,Multnomah,Oregon,97266,06/05/2016 to 10/30/2016,Sun: 9:00 AM-2:00 PM;,,,,,,,-122.570302,45.480443,,7/13/2016 16:53
1012545,Portland Farmers Market - Pioneer Courthouse Square,http://www.portlandfarmersmarket.org/,https://www.facebook.com/portlandfarmersmarket?v=wall,https://twitter.com/portlandfarmers,,https://www.instagram.com/portlandfarmers/,SW 6th Ave and Yamhill St,Portland,Multnomah,Oregon,97204,06/20/2016 to 09/26/2016,Mon: 10:00 AM-2:00 PM;,,,,,,,-122.6789927,45.5184017,,7/13/2016 17:00
1012546,Portland Farmers Market - Shemanski Park,http://www.portlandfarmersmarket.org/,https://www.facebook.com/portlandfarmersmarket?v=wall,https://twitter.com/portlandfarmers,,https://www.instagram.com/portlandfarmers/,SW Park Ave and SW Salmon St,Portland,Multnomah,Oregon,97205,05/04/2016 to 11/23/2016,Wed: 10:00 AM-2:00 PM;,,,,,,,-122.6816722,45.5176149,,7/13/2016 17:04
